Model,Fold,Target,Requested,Valid,Undefined,Undefined rate,catalogue_item_id,source_artifact_id,source_field_path,source_sha256
Learned-softmax GAM,4,spiculation,564,564,0,0.000,RES-P9-GRADCAM-LEARNED_SOFTMAX_GAM-FOLD4-SPICULATION,ART-P9-SPATIAL,models.learned_softmax_gam.folds[4].targets.spiculation,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Learned-softmax GAM,4,subtlety,564,496,68,0.121,RES-P9-GRADCAM-LEARNED_SOFTMAX_GAM-FOLD4-SUBTLETY,ART-P9-SPATIAL,models.learned_softmax_gam.folds[4].targets.subtlety,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Learned-softmax GAM,4,texture,564,564,0,0.000,RES-P9-GRADCAM-LEARNED_SOFTMAX_GAM-FOLD4-TEXTURE,ART-P9-SPATIAL,models.learned_softmax_gam.folds[4].targets.texture,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Mixed-type CEM,0,calcification,479,356,123,0.257,RES-P9-GRADCAM-MIXED_CEM-FOLD0-CALCIFICATION,ART-P9-SPATIAL,models.mixed_cem.folds[0].targets.calcification,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Mixed-type CEM,0,internalStructure,479,170,309,0.645,RES-P9-GRADCAM-MIXED_CEM-FOLD0-INTERNALSTRUCTURE,ART-P9-SPATIAL,models.mixed_cem.folds[0].targets.internalStructure,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Mixed-type CEM,0,lobulation,479,478,1,0.002,RES-P9-GRADCAM-MIXED_CEM-FOLD0-LOBULATION,ART-P9-SPATIAL,models.mixed_cem.folds[0].targets.lobulation,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Mixed-type CEM,0,malignancy,479,102,377,0.787,RES-P9-GRADCAM-MIXED_CEM-FOLD0-MALIGNANCY,ART-P9-SPATIAL,models.mixed_cem.folds[0].targets.malignancy,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Mixed-type CEM,0,margin,479,479,0,0.000,RES-P9-GRADCAM-MIXED_CEM-FOLD0-MARGIN,ART-P9-SPATIAL,models.mixed_cem.folds[0].targets.margin,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Mixed-type CEM,0,sphericity,479,479,0,0.000,RES-P9-GRADCAM-MIXED_CEM-FOLD0-SPHERICITY,ART-P9-SPATIAL,models.mixed_cem.folds[0].targets.sphericity,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Mixed-type CEM,0,spiculation,479,479,0,0.000,RES-P9-GRADCAM-MIXED_CEM-FOLD0-SPICULATION,ART-P9-SPATIAL,models.mixed_cem.folds[0].targets.spiculation,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Mixed-type CEM,0,subtlety,479,456,23,0.048,RES-P9-GRADCAM-MIXED_CEM-FOLD0-SUBTLETY,ART-P9-SPATIAL,models.mixed_cem.folds[0].targets.subtlety,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Mixed-type CEM,0,texture,479,475,4,0.008,RES-P9-GRADCAM-MIXED_CEM-FOLD0-TEXTURE,ART-P9-SPATIAL,models.mixed_cem.folds[0].targets.texture,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Mixed-type CEM,1,calcification,502,202,300,0.598,RES-P9-GRADCAM-MIXED_CEM-FOLD1-CALCIFICATION,ART-P9-SPATIAL,models.mixed_cem.folds[1].targets.calcification,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Mixed-type CEM,1,internalStructure,502,499,3,0.006,RES-P9-GRADCAM-MIXED_CEM-FOLD1-INTERNALSTRUCTURE,ART-P9-SPATIAL,models.mixed_cem.folds[1].targets.internalStructure,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Mixed-type CEM,1,lobulation,502,502,0,0.000,RES-P9-GRADCAM-MIXED_CEM-FOLD1-LOBULATION,ART-P9-SPATIAL,models.mixed_cem.folds[1].targets.lobulation,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Mixed-type CEM,1,malignancy,502,318,184,0.367,RES-P9-GRADCAM-MIXED_CEM-FOLD1-MALIGNANCY,ART-P9-SPATIAL,models.mixed_cem.folds[1].targets.malignancy,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Mixed-type CEM,1,margin,502,501,1,0.002,RES-P9-GRADCAM-MIXED_CEM-FOLD1-MARGIN,ART-P9-SPATIAL,models.mixed_cem.folds[1].targets.margin,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Mixed-type CEM,1,sphericity,502,497,5,0.010,RES-P9-GRADCAM-MIXED_CEM-FOLD1-SPHERICITY,ART-P9-SPATIAL,models.mixed_cem.folds[1].targets.sphericity,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Mixed-type CEM,1,spiculation,502,502,0,0.000,RES-P9-GRADCAM-MIXED_CEM-FOLD1-SPICULATION,ART-P9-SPATIAL,models.mixed_cem.folds[1].targets.spiculation,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Mixed-type CEM,1,subtlety,502,488,14,0.028,RES-P9-GRADCAM-MIXED_CEM-FOLD1-SUBTLETY,ART-P9-SPATIAL,models.mixed_cem.folds[1].targets.subtlety,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Mixed-type CEM,1,texture,502,483,19,0.038,RES-P9-GRADCAM-MIXED_CEM-FOLD1-TEXTURE,ART-P9-SPATIAL,models.mixed_cem.folds[1].targets.texture,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Mixed-type CEM,2,calcification,539,509,30,0.056,RES-P9-GRADCAM-MIXED_CEM-FOLD2-CALCIFICATION,ART-P9-SPATIAL,models.mixed_cem.folds[2].targets.calcification,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Mixed-type CEM,2,internalStructure,539,362,177,0.328,RES-P9-GRADCAM-MIXED_CEM-FOLD2-INTERNALSTRUCTURE,ART-P9-SPATIAL,models.mixed_cem.folds[2].targets.internalStructure,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Mixed-type CEM,2,lobulation,539,405,134,0.249,RES-P9-GRADCAM-MIXED_CEM-FOLD2-LOBULATION,ART-P9-SPATIAL,models.mixed_cem.folds[2].targets.lobulation,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
