Model,Target,Quantity,Saliency mean,Saliency median,Saliency−random mean,Saliency > random rate,Valid maps,catalogue_item_id,source_artifact_id,source_field_path,source_sha256
Mixed-type CEM,texture,error_increase,-0.016,-0.001,-0.128,0.412,2600,RES-P9-FAITHFULNESS-MIXED_CEM-TEXTURE,ART-P9-SPATIAL,models.mixed_cem.pooled_targets.texture,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Standard CBM,calcification,output_sensitivity,0.158,0.084,-0.978,0.088,1938,RES-P9-FAITHFULNESS-STANDARD_CBM-CALCIFICATION,ART-P9-SPATIAL,models.standard_cbm.pooled_targets.calcification,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Standard CBM,calcification,error_increase,0.057,0.017,0.589,0.792,1938,RES-P9-FAITHFULNESS-STANDARD_CBM-CALCIFICATION,ART-P9-SPATIAL,models.standard_cbm.pooled_targets.calcification,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Standard CBM,internalStructure,output_sensitivity,0.145,0.106,-0.990,0.060,2506,RES-P9-FAITHFULNESS-STANDARD_CBM-INTERNALSTRUCTURE,ART-P9-SPATIAL,models.standard_cbm.pooled_targets.internalStructure,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Standard CBM,internalStructure,error_increase,-0.064,-0.051,0.576,0.755,2506,RES-P9-FAITHFULNESS-STANDARD_CBM-INTERNALSTRUCTURE,ART-P9-SPATIAL,models.standard_cbm.pooled_targets.internalStructure,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Standard CBM,lobulation,output_sensitivity,0.191,0.131,-1.262,0.006,2545,RES-P9-FAITHFULNESS-STANDARD_CBM-LOBULATION,ART-P9-SPATIAL,models.standard_cbm.pooled_targets.lobulation,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Standard CBM,lobulation,error_increase,-0.181,-0.127,1.191,0.980,2545,RES-P9-FAITHFULNESS-STANDARD_CBM-LOBULATION,ART-P9-SPATIAL,models.standard_cbm.pooled_targets.lobulation,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Standard CBM,malignancy,output_sensitivity,0.018,0.012,-0.218,0.005,2398,RES-P9-FAITHFULNESS-STANDARD_CBM-MALIGNANCY,ART-P9-SPATIAL,models.standard_cbm.pooled_targets.malignancy,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Standard CBM,malignancy,error_increase,0.003,0.001,-0.140,0.227,2398,RES-P9-FAITHFULNESS-STANDARD_CBM-MALIGNANCY,ART-P9-SPATIAL,models.standard_cbm.pooled_targets.malignancy,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Standard CBM,margin,output_sensitivity,0.177,0.126,-1.024,0.026,2623,RES-P9-FAITHFULNESS-STANDARD_CBM-MARGIN,ART-P9-SPATIAL,models.standard_cbm.pooled_targets.margin,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Standard CBM,margin,error_increase,-0.085,-0.051,-0.320,0.347,2623,RES-P9-FAITHFULNESS-STANDARD_CBM-MARGIN,ART-P9-SPATIAL,models.standard_cbm.pooled_targets.margin,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Standard CBM,,output_sensitivity,0.149,0.086,-1.064,0.037,22413,RES-P9-FAITHFULNESS-STANDARD_CBM-POOLED,ART-P9-SPATIAL,models.standard_cbm.pooled_all_targets,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Standard CBM,,error_increase,-0.070,-0.024,0.133,0.545,22413,RES-P9-FAITHFULNESS-STANDARD_CBM-POOLED,ART-P9-SPATIAL,models.standard_cbm.pooled_all_targets,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Standard CBM,sphericity,output_sensitivity,0.114,0.073,-0.506,0.053,2631,RES-P9-FAITHFULNESS-STANDARD_CBM-SPHERICITY,ART-P9-SPATIAL,models.standard_cbm.pooled_targets.sphericity,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Standard CBM,sphericity,error_increase,-0.068,-0.023,-0.133,0.380,2631,RES-P9-FAITHFULNESS-STANDARD_CBM-SPHERICITY,ART-P9-SPATIAL,models.standard_cbm.pooled_targets.sphericity,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Standard CBM,spiculation,output_sensitivity,0.207,0.137,-1.930,0.002,2576,RES-P9-FAITHFULNESS-STANDARD_CBM-SPICULATION,ART-P9-SPATIAL,models.standard_cbm.pooled_targets.spiculation,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Standard CBM,spiculation,error_increase,-0.197,-0.132,1.493,0.967,2576,RES-P9-FAITHFULNESS-STANDARD_CBM-SPICULATION,ART-P9-SPATIAL,models.standard_cbm.pooled_targets.spiculation,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Standard CBM,subtlety,output_sensitivity,0.129,0.077,-1.666,0.012,2576,RES-P9-FAITHFULNESS-STANDARD_CBM-SUBTLETY,ART-P9-SPATIAL,models.standard_cbm.pooled_targets.subtlety,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Standard CBM,subtlety,error_increase,0.019,0.001,-1.400,0.149,2576,RES-P9-FAITHFULNESS-STANDARD_CBM-SUBTLETY,ART-P9-SPATIAL,models.standard_cbm.pooled_targets.subtlety,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Standard CBM,texture,output_sensitivity,0.198,0.131,-0.939,0.093,2620,RES-P9-FAITHFULNESS-STANDARD_CBM-TEXTURE,ART-P9-SPATIAL,models.standard_cbm.pooled_targets.texture,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Standard CBM,texture,error_increase,-0.077,-0.049,-0.515,0.366,2620,RES-P9-FAITHFULNESS-STANDARD_CBM-TEXTURE,ART-P9-SPATIAL,models.standard_cbm.pooled_targets.texture,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
