model,scope,fold,target,quantity,sample_count,saliency_mean,saliency_sd,saliency_median,saliency_minus_random_mean,saliency_greater_than_random_rate
Mixed-type CEM,fold_target,1,sphericity,error_increase,497,-0.00010222668049321089,0.014881412431489759,-0.0032709091901779175,0.09418541809292867,0.9537223340040242
Mixed-type CEM,fold_target,1,spiculation,output_sensitivity,502,0.03261175894167319,0.04892273241577867,0.013285398483276367,-0.2628236438233064,0.04780876494023904
Mixed-type CEM,fold_target,1,spiculation,error_increase,502,-0.030255965383879216,0.05041366012287925,-0.010861992835998535,0.21475830144022567,0.8725099601593626
Mixed-type CEM,fold_target,1,subtlety,output_sensitivity,488,0.05121404640987271,0.036785263815036044,0.04814198613166809,-0.29512258197074054,0.0020491803278688526
Mixed-type CEM,fold_target,1,subtlety,error_increase,488,-0.0204146990929145,0.05665776725595186,-0.023476004600524902,-0.03833185336832466,0.4774590163934426
Mixed-type CEM,fold_target,1,texture,output_sensitivity,483,0.02192032818468461,0.021999814162530686,0.015250325202941895,-0.223288646044198,0.008281573498964804
Mixed-type CEM,fold_target,1,texture,error_increase,483,0.0006622904082509548,0.028478754641628905,0.003203272819519043,-0.04593226038192041,0.5217391304347826
Mixed-type CEM,fold_target,2,calcification,output_sensitivity,509,0.0665807610556981,0.10101192034518537,0.024953842163085938,-0.6993628141322046,0.005893909626719057
Mixed-type CEM,fold_target,2,calcification,error_increase,509,-0.006892850933585513,0.11083295590955068,0.0,-0.21887796874198948,0.44597249508840864
Mixed-type CEM,fold_target,2,internalStructure,output_sensitivity,362,0.10411133757118363,0.10312044004174965,0.07346326112747192,-0.15087747317404376,0.11602209944751381
Mixed-type CEM,fold_target,2,internalStructure,error_increase,362,0.10165380563031244,0.1055438277027117,0.07310992479324341,-0.10023664501572842,0.36187845303867405
Mixed-type CEM,fold_target,2,lobulation,output_sensitivity,405,0.01776524899918356,0.0240395723605245,0.00916677713394165,-0.1535725031958686,0.07160493827160494
Mixed-type CEM,fold_target,2,lobulation,error_increase,405,-0.014783865875667997,0.02597965398249456,-0.006843686103820801,0.03563090923391742,0.7012345679012346
Mixed-type CEM,fold_target,2,malignancy,output_sensitivity,213,0.023393434555457792,0.02551183458954107,0.015065312385559082,-0.2039003256690894,0.009389671361502348
Mixed-type CEM,fold_target,2,malignancy,error_increase,213,0.005297720624667378,0.032806701038382846,0.0006787776947021484,-0.14970827078175658,0.215962441314554
Mixed-type CEM,fold_target,2,margin,output_sensitivity,539,0.015011501016444311,0.014795287262427362,0.011172950267791748,-0.04664767767909175,0.12059369202226346
Mixed-type CEM,fold_target,2,margin,error_increase,539,-0.0022472889198885317,0.020956988821273923,0.0,0.0043559932718416315,0.5435992578849722
Mixed-type CEM,fold_target,2,sphericity,output_sensitivity,538,0.028842398169758594,0.029510877629927785,0.01914873719215393,-0.1877854284826929,0.07063197026022305
Mixed-type CEM,fold_target,2,sphericity,error_increase,538,0.01493162106921091,0.037143405646968206,0.009512633085250854,-0.043484687809792,0.3847583643122677
